Timeguessr Day,Timeguessr Round,Community Round Score,Community Time Distance,Community Geography Distance,Community Average,Community Years Average,Community Location Average,Michael Percentile,Michael Years,Michael Location,Sarah Percentile,Sarah Years,Sarah Location
1152,1,5009.0,16.4,1143117.0432,27813.0,48.0,45.0,0.968,68.0,87.0,0.94,64.0,77.0
1152,2,7209.0,8.6,557476.7616,27813.0,48.0,45.0,0.968,68.0,87.0,0.94,64.0,77.0
1152,3,5575.0,7.4,7514670.8736,27813.0,48.0,45.0,0.968,68.0,87.0,0.94,64.0,77.0
1152,4,4218.0,13.1,6656568.6528,27813.0,48.0,45.0,0.968,68.0,87.0,0.94,64.0,77.0
1152,5,5801.0,18.8,365321.088,27813.0,48.0,45.0,0.968,68.0,87.0,0.94,64.0,77.0
1153,1,9643.0,1.1,128908.45439999999,37373.0,70.0,63.0,0.879,83.0,82.0,0.5589999999999999,71.0,67.0
1153,2,6776.0,7.1,1802948.0832,37373.0,70.0,63.0,0.879,83.0,82.0,0.5589999999999999,71.0,67.0
1153,3,7377.0,8.0,601733.7215999999,37373.0,70.0,63.0,0.879,83.0,82.0,0.5589999999999999,71.0,67.0
1153,4,6188.0,10.4,1082766.6432,37373.0,70.0,63.0,0.879,83.0,82.0,0.5589999999999999,71.0,67.0
1153,5,7389.0,9.0,547498.8288,37373.0,70.0,63.0,0.879,83.0,82.0,0.5589999999999999,71.0,67.0
1154,1,6955.0,6.9,3325065.6384,37371.0,64.0,63.0,0.9129999999999999,79.0,85.0,0.98,89.0,91.0
1154,2,6625.0,14.1,276646.23360000004,37371.0,64.0,63.0,0.9129999999999999,79.0,85.0,0.98,89.0,91.0
1154,3,6075.0,11.2,2408866.0992,37371.0,64.0,63.0,0.9129999999999999,79.0,85.0,0.98,89.0,91.0
1154,4,7381.0,7.1,1489286.9376,37371.0,64.0,63.0,0.9129999999999999,79.0,85.0,0.98,89.0,91.0
1154,5,8437.0,4.3,1052350.0415999999,37371.0,64.0,63.0,0.9129999999999999,79.0,85.0,0.98,89.0,91.0
1155,1,6608.0,4.7,2523451.392,35595.0,69.0,49.0,0.998,98.0,90.0,0.997,99.0,81.0
1155,2,6750.0,11.6,522393.06240000005,35595.0,69.0,49.0,0.998,98.0,90.0,0.997,99.0,81.0
1155,3,8307.0,4.1,437741.568,35595.0,69.0,49.0,0.998,98.0,90.0,0.997,99.0,81.0
1155,4,6617.0,7.8,1214893.7856,35595.0,69.0,49.0,0.998,98.0,90.0,0.997,99.0,81.0
1155,5,7313.0,8.6,449811.648,35595.0,69.0,49.0,0.998,98.0,90.0,0.997,99.0,81.0
1156,1,7840.0,6.8,414084.2112,32790.0,60.0,53.0,0.7709999999999999,72.0,78.0,0.9640000000000001,82.0,74.0
1156,2,7058.0,12.2,,32790.0,60.0,53.0,0.7709999999999999,72.0,78.0,0.9640000000000001,82.0,74.0
1156,3,4872.0,12.3,3588998.0544,32790.0,60.0,53.0,0.7709999999999999,72.0,78.0,0.9640000000000001,82.0,74.0
1156,4,6579.0,11.1,909762.1632,32790.0,60.0,53.0,0.7709999999999999,72.0,78.0,0.9640000000000001,82.0,74.0
1156,5,6439.0,6.5,3117460.2624,32790.0,60.0,53.0,0.7709999999999999,72.0,78.0,0.9640000000000001,82.0,74.0
1159,1,6309.0,8.2,2133185.472,32917.0,54.0,58.0,0.7120000000000001,48.0,89.0,,,
1159,2,6135.0,14.2,1155669.9264,32917.0,54.0,58.0,0.7120000000000001,48.0,89.0,,,
1159,3,6192.0,13.9,666912.1536,32917.0,54.0,58.0,0.7120000000000001,48.0,89.0,,,
1159,4,6841.0,14.0,373367.808,32917.0,54.0,58.0,0.7120000000000001,48.0,89.0,,,
1159,5,7441.0,7.1,626356.6848,32917.0,54.0,58.0,0.7120000000000001,48.0,89.0,,,
1160,1,7892.0,6.6,1498460.1984,36597.0,64.0,62.0,0.951,81.0,91.0,0.9640000000000001,98.0,59.0
1160,2,7260.0,9.1,449167.91040000005,36597.0,64.0,62.0,0.951,81.0,91.0,0.9640000000000001,98.0,59.0
1160,3,7183.0,8.7,465100.416,36597.0,64.0,62.0,0.951,81.0,91.0,0.9640000000000001,98.0,59.0
1160,4,6787.0,6.4,2443306.0608,36597.0,64.0,62.0,0.951,81.0,91.0,0.9640000000000001,98.0,59.0
1160,5,7475.0,10.3,152726.74560000002,36597.0,64.0,62.0,0.951,81.0,91.0,0.9640000000000001,98.0,59.0
1161,1,6735.0,4.2,3717423.7056000005,34608.0,64.0,57.0,0.82,68.0,80.0,0.8,63.0,91.0
1161,2,7030.0,8.9,,34608.0,64.0,57.0,0.82,68.0,80.0,0.8,63.0,91.0
1161,3,6581.0,11.2,687833.6256,34608.0,64.0,57.0,0.82,68.0,80.0,0.8,63.0,91.0
1161,4,6719.0,11.0,810143.7696,34608.0,64.0,57.0,0.82,68.0,80.0,0.8,63.0,91.0
1161,5,7543.0,7.2,684454.0032,34608.0,64.0,57.0,0.82,68.0,80.0,0.8,63.0,91.0
1162,1,5983.0,21.0,1539659.4048000001,31040.0,56.0,54.0,0.838,59.0,94.0,0.7190000000000001,86.0,53.0
1162,2,4449.0,18.1,4809524.544,31040.0,56.0,54.0,0.838,59.0,94.0,0.7190000000000001,86.0,53.0
1162,3,6717.0,10.0,979607.6928000001,31040.0,56.0,54.0,0.838,59.0,94.0,0.7190000000000001,86.0,53.0
1162,4,7102.0,8.8,647921.8944000001,31040.0,56.0,54.0,0.838,59.0,94.0,0.7190000000000001,86.0,53.0
1162,5,6791.0,5.4,4336377.408,31040.0,56.0,54.0,0.838,59.0,94.0,0.7190000000000001,86.0,53.0
1163,1,6364.0,23.1,62603.4816,32901.0,51.0,56.0,0.96,72.0,76.0,0.131,40.0,46.0
1163,2,6416.0,10.7,783267.7248,32901.0,51.0,56.0,0.96,72.0,76.0,0.131,40.0,46.0
1163,3,6039.0,10.9,2444754.4704,32901.0,51.0,56.0,0.96,72.0,76.0,0.131,40.0,46.0
1163,4,7096.0,8.3,651623.3856,32901.0,51.0,56.0,0.96,72.0,76.0,0.131,40.0,46.0
1163,5,6988.0,9.6,558925.1712,32901.0,51.0,56.0,0.96,72.0,76.0,0.131,40.0,46.0
1166,1,7482.0,7.4,510322.98240000004,34940.0,66.0,52.0,0.99,91.0,77.0,0.5820000000000001,55.0,67.0
1166,2,7596.0,6.3,532853.7984000001,34940.0,66.0,52.0,0.99,91.0,77.0,0.5820000000000001,55.0,67.0
1166,3,6623.0,8.5,1492988.4288,34940.0,66.0,52.0,0.99,91.0,77.0,0.5820000000000001,55.0,67.0
1166,4,6136.0,7.3,3456066.24,34940.0,66.0,52.0,0.99,91.0,77.0,0.5820000000000001,55.0,67.0
1166,5,7104.0,10.5,306740.9664,34940.0,66.0,52.0,0.99,91.0,77.0,0.5820000000000001,55.0,67.0
1167,1,6319.0,14.1,478297.0368,31329.0,59.0,48.0,0.9470000000000001,70.0,84.0,0.9640000000000001,74.0,89.0
1167,2,5241.0,8.0,2938179.3408000004,31329.0,59.0,48.0,0.9470000000000001,70.0,84.0,0.9640000000000001,74.0,89.0
1167,3,5587.0,8.6,2433167.1936000003,31329.0,59.0,48.0,0.9470000000000001,70.0,84.0,0.9640000000000001,74.0,89.0
1167,4,7331.0,9.5,229814.3232,31329.0,59.0,48.0,0.9470000000000001,70.0,84.0,0.9640000000000001,74.0,89.0
1167,5,6851.0,7.7,2469216.4992,31329.0,59.0,48.0,0.9470000000000001,70.0,84.0,0.9640000000000001,74.0,89.0
