Timeguessr Day,Timeguessr Round,Sarah Total Score,Sarah Round Score,Sarah Geography,Sarah Geography Distance,Sarah Time,Sarah Time Distance,Sarah Time Guessed,Sarah Time Score,Sarah Geography Score,Sarah Geography Score (Min),Sarah Geography Score (Max)
659,1,31697,,OO%,,OXX,,,,,4750.0,4999.0
659,2,31697,,OO%,,XXX,,,,,4750.0,4999.0
659,3,31697,,OO%,,XXX,,,,,4750.0,4999.0
659,4,31697,,OO%,,OO%,,,,,4750.0,4999.0
659,5,31697,,OO%,,XXX,,,,,4750.0,4999.0
662,1,38656,,OO%,,OOX,,,,,4750.0,4999.0
662,2,38656,,OO%,,O%X,,,,,4750.0,4999.0
662,3,38656,,OXX,,OOO,,,,,3500.0,4249.0
662,4,38656,,OXX,,OXX,,,,,3500.0,4249.0
662,5,38656,,OXX,,%XX,,,,,3500.0,4249.0
663,1,28060,,OOO,,OO%,,,,5000.0,5000.0,5000.0
663,2,28060,,XXX,,OOX,,,,,12.0,2499.0
663,3,28060,,OOO,,OXX,,,,5000.0,5000.0,5000.0
663,4,28060,,XXX,,OXX,,,,,12.0,2499.0
663,5,28060,,XXX,,%XX,,,,,12.0,2499.0
664,1,36556,,OO%,,OXX,,,,,4750.0,4999.0
664,2,36556,,OO%,,O%X,,,,,4750.0,4999.0
664,3,36556,,OO%,,OOX,,,,,4750.0,4999.0
664,4,36556,,%XX,,XXX,,,,,2500.0,3499.0
664,5,36556,,O%X,,OO%,,,,,4250.0,4499.0
666,1,35956,,O%X,,OOX,,,,,4250.0,4499.0
666,2,35956,,XXX,,OOO,,,,,12.0,2499.0
666,3,35956,,OO%,,O%X,,,,,4750.0,4999.0
666,4,35956,,O%X,,XXX,,,,,4250.0,4499.0
666,5,35956,,OXX,,OO%,,,,,3500.0,4249.0
669,1,44265,,OO%,,OO%,,,,,4750.0,4999.0
669,2,44265,,OO%,,OO%,,,,,4750.0,4999.0
669,3,44265,,OO%,,OO%,,,,,4750.0,4999.0
669,4,44265,,OO%,,O%X,,,,,4750.0,4999.0
669,5,44265,,OO%,,%XX,,,,,4750.0,4999.0
670,1,27971,,XXX,,OOO,,,,,12.0,2499.0
670,2,27971,,OXX,,XXX,,,,,3500.0,4249.0
670,3,27971,,%XX,,OOX,,,,,2500.0,3499.0
670,4,27971,,%XX,,XXX,,,,,2500.0,3499.0
670,5,27971,,O%X,,OOX,,,,,4250.0,4499.0
671,1,44811,,OO%,,OOO,,,,,4750.0,4999.0
671,2,44811,,O%X,,OO%,,,,,4250.0,4499.0
671,3,44811,,O%X,,OXX,,,,,4250.0,4499.0
671,4,44811,,OO%,,OO%,,,,,4750.0,4999.0
671,5,44811,,OXX,,OOO,,,,,3500.0,4249.0
672,1,34145,,OO%,,OOX,,,,,4750.0,4999.0
672,2,34145,,OXX,,OXX,,,,,3500.0,4249.0
672,3,34145,,OO%,,OOO,,,,,4750.0,4999.0
672,4,34145,,%XX,,OXX,,,,,2500.0,3499.0
672,5,34145,,XXX,,O%X,,,,,12.0,2499.0
673,1,31302,,XXX,,OOX,,,,,12.0,2499.0
673,2,31302,,OO%,,O%X,,,,,4750.0,4999.0
673,3,31302,,O%X,,XXX,,,,,4250.0,4499.0
673,4,31302,,OO%,,OO%,,,,,4750.0,4999.0
673,5,31302,,XXX,,O%X,,,,,12.0,2499.0
676,1,40464,,XXX,,O%X,,,,,12.0,2499.0
676,2,40464,,OO%,,O%X,,,,,4750.0,4999.0
676,3,40464,,OO%,,OOO,,,,,4750.0,4999.0
676,4,40464,,OXX,,OOO,,,,,3500.0,4249.0
676,5,40464,,OO%,,OOX,,,,,4750.0,4999.0
677,1,37462,,OOO,,O%X,,,,5000.0,5000.0,5000.0
677,2,37462,,OXX,,OO%,,,,,3500.0,4249.0
677,3,37462,,OO%,,OO%,,,,,4750.0,4999.0
677,4,37462,,XXX,,%XX,,,,,12.0,2499.0
677,5,37462,,OOX,,O%X,,,,,4500.0,4749.0
678,1,36363,,OO%,,OXX,,,,,4750.0,4999.0
678,2,36363,,%XX,,OO%,,,,,2500.0,3499.0
678,3,36363,,OXX,,OOO,,,,,3500.0,4249.0
678,4,36363,,OXX,,OOX,,,,,3500.0,4249.0
678,5,36363,,OO%,,XXX,,,,,4750.0,4999.0
679,1,25034,,OO%,,%XX,,,,,4750.0,4999.0
679,2,25034,,XXX,,OXX,,,,,12.0,2499.0
679,3,25034,,OXX,,OXX,,,,,3500.0,4249.0
679,4,25034,,OXX,,O%X,,,,,3500.0,4249.0
679,5,25034,,XXX,,XXX,,,,,12.0,2499.0
680,1,36877,,OXX,,OXX,,,,,3500.0,4249.0
680,2,36877,,OOO,,OO%,,,,5000.0,5000.0,5000.0
680,3,36877,,OOX,,OXX,,,,,4500.0,4749.0
680,4,36877,,%XX,,O%X,,,,,2500.0,3499.0
680,5,36877,,OO%,,OXX,,,,,4750.0,4999.0
683,1,32219,,OO%,,O%X,,,,,4750.0,4999.0
683,2,32219,,OXX,,OO%,,,,,3500.0,4249.0
683,3,32219,,OO%,,OOX,,,,,4750.0,4999.0
683,4,32219,,OXX,,OXX,,,,,3500.0,4249.0
683,5,32219,,XXX,,XXX,,,,,12.0,2499.0
684,1,32983,,OXX,,XXX,,,,,3500.0,4249.0
684,2,32983,,OO%,,O%X,,,,,4750.0,4999.0
684,3,32983,,OXX,,OO%,,,,,3500.0,4249.0
684,4,32983,,OXX,,%XX,,,,,3500.0,4249.0
684,5,32983,,OO%,,%XX,,,,,4750.0,4999.0
685,1,42350,,O%X,,OOO,,,,,4250.0,4499.0
685,2,42350,,OO%,,OOX,,,,,4750.0,4999.0
685,3,42350,,OXX,,O%X,,,,,3500.0,4249.0
685,4,42350,,OXX,,OOO,,,,,3500.0,4249.0
685,5,42350,,OXX,,O%X,,,,,3500.0,4249.0
686,1,41028,,OO%,,O%X,,,,,4750.0,4999.0
686,2,41028,,OO%,,OOX,,,,,4750.0,4999.0
686,3,41028,,O%X,,OXX,,,,,4250.0,4499.0
686,4,41028,,OO%,,OOX,,,,,4750.0,4999.0
686,5,41028,,%XX,,O%X,,,,,2500.0,3499.0
691,1,42808,,XXX,,OOO,,,,,12.0,2499.0
691,2,42808,,OO%,,OOX,,,,,4750.0,4999.0
691,3,42808,,O%X,,OO%,,,,,4250.0,4499.0
691,4,42808,,OO%,,O%X,,,,,4750.0,4999.0
691,5,42808,,OOO,,OO%,,,,5000.0,5000.0,5000.0
692,1,28148,,O%X,,%XX,,,,,4250.0,4499.0
692,2,28148,,XXX,,OO%,,,,,12.0,2499.0
692,3,28148,,XXX,,XXX,,,,,12.0,2499.0
692,4,28148,,OXX,,OXX,,,,,3500.0,4249.0
692,5,28148,,OOO,,OOO,,,,5000.0,5000.0,5000.0
694,1,32536,,OOO,,%XX,,,,5000.0,5000.0,5000.0
