Date,Timeguessr Day,Timeguessr Round,City,Subdivision,Country,Year,Michael Total Score,Michael Round Score,Michael Geography,Michael Geography Distance,Michael Time,Michael Time Distance,Michael Time Guessed,Michael Time Score,Michael Geography Score,Michael Geography Score (Min),Michael Geography Score (Max),Michael Time Score (Min),Michael Time Score (Max),Sarah Total Score,Sarah Round Score,Sarah Geography,Sarah Geography Distance,Sarah Time,Sarah Time Distance,Sarah Time Guessed,Sarah Time Score,Sarah Geography Score,Sarah Geography Score (Min),Sarah Geography Score (Max),Sarah Time Score (Min),Sarah Time Score (Max),Community Average,Community Years Average,Community Location Average,Michael Percentile,Michael Years,Michael Location,Sarah Percentile,Sarah Years,Sarah Location,Community Round Score,Community Time Distance,Community Geography Distance
2025-03-20,658,1,,,,,40428.0,,OO%,,OXX,,,,,4750.0,4999.0,2000.0,2500.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-20,658,2,,,,,40428.0,,OO%,,OOO,,,5000.0,,4750.0,4999.0,5000.0,5000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-20,658,3,,,,,40428.0,,OXX,,OO%,,,,,3500.0,4249.0,4800.0,4950.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-20,658,4,,,,,40428.0,,OO%,,OO%,,,,,4750.0,4999.0,4800.0,4950.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-20,658,5,,,,,40428.0,,OO%,,XXX,,,0.0,,4750.0,4999.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-21,659,1,,,,,33166.0,,O%X,,XXX,,,0.0,,4250.0,4499.0,0.0,0.0,31697.0,,OO%,,OXX,,,,,4750.0,4999.0,2000.0,2500.0,,,,,,,,,,,,
2025-03-21,659,2,,,,,33166.0,,XXX,,O%X,,,,,12.0,2499.0,3400.0,3900.0,31697.0,,OO%,,XXX,,,0.0,,4750.0,4999.0,0.0,0.0,,,,,,,,,,,,
2025-03-21,659,3,,,,,33166.0,,OO%,,OXX,,,,,4750.0,4999.0,2000.0,2500.0,31697.0,,OO%,,XXX,,,0.0,,4750.0,4999.0,0.0,0.0,,,,,,,,,,,,
2025-03-21,659,4,,,,,33166.0,,OXX,,OO%,,,,,3500.0,4249.0,4800.0,4950.0,31697.0,,OO%,,OO%,,,,,4750.0,4999.0,4800.0,4950.0,,,,,,,,,,,,
2025-03-21,659,5,,,,,33166.0,,OO%,,O%X,,,,,4750.0,4999.0,3400.0,3900.0,31697.0,,OO%,,XXX,,,0.0,,4750.0,4999.0,0.0,0.0,,,,,,,,,,,,
2025-03-24,662,1,,,,,37002.0,,OO%,,OXX,,,,,4750.0,4999.0,2000.0,2500.0,38656.0,,OO%,,OOX,,,,,4750.0,4999.0,4300.0,4600.0,,,,,,,,,,,,
2025-03-24,662,2,,,,,37002.0,,OO%,,OO%,,,,,4750.0,4999.0,4800.0,4950.0,38656.0,,OO%,,O%X,,,,,4750.0,4999.0,3400.0,3900.0,,,,,,,,,,,,
2025-03-24,662,3,,,,,37002.0,,OO%,,OXX,,,,,4750.0,4999.0,2000.0,2500.0,38656.0,,OXX,,OOO,,,5000.0,,3500.0,4249.0,5000.0,5000.0,,,,,,,,,,,,
