Date,Timeguessr Day,Timeguessr Round,Year,City,Country,Michael Total Score,Michael Round Score,Michael Geography,Michael Geography Distance,Michael Time,Michael Time Distance,Sarah Total Score,Sarah Round Score,Sarah Geography,Sarah Geography Distance,Sarah Time,Sarah Time Distance
2025-03-20,658,1,,,,40428.0,,🟩🟩🟨,,🟩⬛⬛,,,,,,,
2025-03-20,658,2,,,,40428.0,,🟩🟩🟨,,🟩🟩🟩,,,,,,,
2025-03-20,658,3,,,,40428.0,,🟩⬛️⬛️,,🟩🟩🟨,,,,,,,
2025-03-20,658,4,,,,40428.0,,🟩🟩🟨,,🟩🟩🟨,,,,,,,
2025-03-20,658,5,,,,40428.0,,🟩🟩🟨,,⬛️⬛️⬛️,,,,,,,
2025-03-21,659,1,,,,33166.0,,🟩🟨⬛️,,⬛️⬛️⬛️,,31697.0,,🟩🟩🟨,,🟩⬛⬛,
2025-03-21,659,2,,,,33166.0,,⬛️⬛️⬛️,,🟩🟨⬛,,31697.0,,🟩🟩🟨,,⬛️⬛️⬛️,
2025-03-21,659,3,,,,33166.0,,🟩🟩🟨,,🟩⬛⬛,,31697.0,,🟩🟩🟨,,⬛️⬛️⬛️,
2025-03-21,659,4,,,,33166.0,,🟩⬛️⬛️,,🟩🟩🟨,,31697.0,,🟩🟩🟨,,🟩🟩🟨,
2025-03-21,659,5,,,,33166.0,,🟩🟩🟨,,🟩🟨⬛,,31697.0,,🟩🟩🟨,,⬛️⬛️⬛️,
2025-03-24,662,1,,,,37002.0,,🟩🟩🟨,,🟩⬛⬛,,38656.0,,🟩🟩🟨,,🟩🟩⬛,
2025-03-24,662,2,,,,37002.0,,🟩🟩🟨,,🟩🟩🟨,,38656.0,,🟩🟩🟨,,🟩🟨⬛,
2025-03-24,662,3,,,,37002.0,,🟩🟩🟨,,🟩⬛⬛,,38656.0,,🟩⬛️⬛️,,🟩🟩🟩,
2025-03-24,662,4,,,,37002.0,,⬛️⬛️⬛️,,🟩🟨⬛,,38656.0,,🟩⬛️⬛️,,🟩⬛⬛,
2025-03-24,662,5,,,,37002.0,,🟩⬛️⬛️,,🟩🟨⬛,,38656.0,,🟩⬛️⬛️,,🟨⬛️⬛️,
2025-03-25,663,1,,,,37725.0,,🟩🟩🟨,,🟩🟩🟨,,28060.0,,🟩🟩🟩,,🟩🟩🟨,
2025-03-25,663,2,,,,37725.0,,🟨⬛️⬛️,,🟩🟩🟨,,28060.0,,⬛️⬛️⬛️,,🟩🟩⬛,
2025-03-25,663,3,,,,37725.0,,⬛️⬛️⬛️,,🟩⬛⬛,,28060.0,,🟩🟩🟩,,🟩⬛⬛,
2025-03-25,663,4,,,,37725.0,,🟩🟨⬛️,,🟩🟩⬛,,28060.0,,⬛️⬛️⬛️,,🟩⬛⬛,
2025-03-25,663,5,,,,37725.0,,🟩🟩⬛️,,🟩🟩⬛,,28060.0,,⬛️⬛️⬛️,,🟨⬛️⬛️,
2025-03-26,664,1,,,,45237.0,,🟩🟩⬛️,,🟩🟩🟩,,36556.0,,🟩🟩🟨,,🟩⬛⬛,
2025-03-26,664,2,,,,45237.0,,🟩🟩🟨,,🟩🟩🟨,,36556.0,,🟩🟩🟨,,🟩🟨⬛,
2025-03-26,664,3,,,,45237.0,,🟩🟩🟨,,🟩🟨⬛,,36556.0,,🟩🟩🟨,,🟩🟩⬛,
2025-03-26,664,4,,,,45237.0,,🟩⬛️⬛️,,🟩🟩🟨,,36556.0,,🟨⬛️⬛️,,⬛️⬛️⬛️,
2025-03-26,664,5,,,,45237.0,,🟩🟩⬛️,,🟩🟨⬛,,36556.0,,🟩🟨⬛️,,🟩🟩🟨,
2025-03-28,666,1,,,,41848.0,,🟩🟩🟨,,🟩🟩🟩,,35956.0,,🟩🟨⬛️,,🟩🟩⬛,
2025-03-28,666,2,,,,41848.0,,⬛️⬛️⬛️,,🟩🟩🟩,,35956.0,,⬛️⬛️⬛️,,🟩🟩🟩,
2025-03-28,666,3,,,,41848.0,,🟩🟩🟨,,🟩🟩🟨,,35956.0,,🟩🟩🟨,,🟩🟨⬛,
2025-03-28,666,4,,,,41848.0,,🟩🟨⬛️,,🟩🟩🟩,,35956.0,,🟩🟨⬛️,,⬛️⬛️⬛️,
2025-03-28,666,5,,,,41848.0,,🟩🟩🟨,,🟩⬛⬛,,35956.0,,🟩⬛️⬛️,,🟩🟩🟨,
2025-03-31,669,1,,,,37264.0,,🟩🟩🟨,,🟩🟨⬛,,44265.0,,🟩🟩🟨,,🟩🟩🟨,
2025-03-31,669,2,,,,37264.0,,⬛️⬛️⬛️,,🟩🟩🟩,,44265.0,,🟩🟩🟨,,🟩🟩🟨,
2025-03-31,669,3,,,,37264.0,,🟩⬛️⬛️,,🟩🟨⬛,,44265.0,,🟩🟩🟨,,🟩🟩🟨,
2025-03-31,669,4,,,,37264.0,,🟩🟩🟨,,🟩⬛⬛,,44265.0,,🟩🟩🟨,,🟩🟨⬛,
2025-03-31,669,5,,,,37264.0,,🟩🟩🟨,,🟩🟨⬛,,44265.0,,🟩🟩🟨,,🟨⬛️⬛️,
2025-04-01,670,1,,,,42808.0,,🟩🟩🟨,,🟩🟩🟩,,27971.0,,⬛️⬛️⬛️,,🟩🟩🟩,
2025-04-01,670,2,,,,42808.0,,🟩⬛️⬛️,,🟩🟩⬛,,27971.0,,🟩⬛️⬛️,,⬛️⬛️⬛️,
2025-04-01,670,3,,,,42808.0,,🟩⬛️⬛️,,🟩🟩🟨,,27971.0,,🟨⬛️⬛️,,🟩🟩⬛,
2025-04-01,670,4,,,,42808.0,,🟩🟩🟨,,🟩⬛⬛,,27971.0,,🟨⬛️⬛️,,⬛️⬛️⬛️,
